kod_cast,radon,populace,okres,kraj
039900,1.0,4130.0,Uherské Hradiště,Zlínský kraj
080004,1.0,633.0,Vsetín,Zlínský kraj
126853,1.0,559.0,Vsetín,Zlínský kraj
074403,1.0,223.0,Uherské Hradiště,Zlínský kraj
006564,1.0,362.0,Zlín,Zlínský kraj
045781,1.0,287.0,Zlín,Zlínský kraj
134198,1.0,148.0,Uherské Hradiště,Zlínský kraj
064947,1.0,192.0,Zlín,Zlínský kraj
197726,1.0,1151.0,Zlín,Zlínský kraj
145335,1.0,59.0,Zlín,Zlínský kraj
036021,1.0,1349.0,Zlín,Zlínský kraj
159034,1.0,1078.0,Uherské Hradiště,Zlínský kraj
159913,1.0,217.0,Uherské Hradiště,Zlínský kraj
034584,1.0,1350.0,Vsetín,Zlínský kraj
176290,1.0,408.0,Vsetín,Zlínský kraj
156116,1.0,2121.0,Uherské Hradiště,Zlínský kraj
029831,1.0,2761.0,Uherské Hradiště,Zlínský kraj
068802,1.0,521.0,Uherské Hradiště,Zlínský kraj
002011,1.0,317.0,Zlín,Zlínský kraj
147486,1.0,292.0,Vsetín,Zlínský kraj
176273,1.0,1409.0,Vsetín,Zlínský kraj
014699,1.0,503.0,Zlín,Zlínský kraj
412171,1.0,6928.0,Zlín,Zlínský kraj
078867,1.0,829.0,Vsetín,Zlínský kraj
133086,1.0,502.0,Vsetín,Zlínský kraj
032549,1.0,406.0,Zlín,Zlínský kraj
084085,1.0,181.0,Zlín,Zlínský kraj
084581,1.0,336.0,Zlín,Zlínský kraj
086983,1.0,495.0,Zlín,Zlínský kraj
104361,1.0,460.0,Zlín,Zlínský kraj
183288,1.0,343.0,Zlín,Zlínský kraj
180998,1.0,613.0,Uherské Hradiště,Zlínský kraj
100706,1.0,676.0,Zlín,Zlínský kraj
089885,1.0,641.0,Zlín,Zlínský kraj
155004,2.0,764.0,Uherské Hradiště,Zlínský kraj
145343,1.0,233.0,Zlín,Zlínský kraj
172910,1.0,1609.0,Uherské Hradiště,Zlínský kraj
136786,1.0,72.0,Vsetín,Zlínský kraj
179671,1.0,719.0,Zlín,Zlínský kraj
069698,1.0,899.0,Uherské Hradiště,Zlínský kraj
116173,1.0,1359.0,Uherské Hradiště,Zlínský kraj
166791,1.0,419.0,Kroměříž,Zlínský kraj
000868,1.0,2051.0,Uherské Hradiště,Zlínský kraj
125865,1.0,997.0,Uherské Hradiště,Zlínský kraj
176303,1.0,86.0,Zlín,Zlínský kraj
036170,1.0,2525.0,Zlín,Zlínský kraj
173690,1.0,1143.0,Zlín,Zlínský kraj
064785,1.0,152.0,Zlín,Zlínský kraj
035866,1.0,822.0,Zlín,Zlínský kraj
035891,1.0,2195.0,Zlín,Zlínský kraj
068713,1.0,293.0,Zlín,Zlínský kraj
080985,1.0,882.0,Zlín,Zlínský kraj
162060,1.0,248.0,Zlín,Zlínský kraj
145955,1.0,195.0,Zlín,Zlínský kraj
084093,1.0,219.0,Zlín,Zlínský kraj
180581,1.0,788.0,Zlín,Zlínský kraj
036081,1.0,144.0,Zlín,Zlínský kraj
120391,1.0,305.0,Zlín,Zlínský kraj
197246,1.0,170.0,Uherské Hradiště,Zlínský kraj
183261,1.0,200.0,Zlín,Zlínský kraj
188310,1.0,811.0,Zlín,Zlínský kraj
007978,1.0,780.0,Uherské Hradiště,Zlínský kraj
192228,1.0,525.0,Vsetín,Zlínský kraj
035408,1.0,275.0,Zlín,Zlínský kraj
117358,1.0,463.0,Kroměříž,Zlínský kraj
414816,1.0,10619.0,Vsetín,Zlínský kraj
189782,1.0,304.0,Kroměříž,Zlínský kraj
